CSD ID, lambda_force (eV), lambda_4p (eV)
GUBCAJ,0.09748,0.10474
AGIFII,0.092,0.10529
ZAPFII,0.09581,0.10549
COLXUY,0.07928,0.10554
UFOBUN,0.08526,0.10578
JAFBAT,0.10047,0.10631
SUVVOX,0.06081,0.1064
POGVAJ01,0.10002,0.10644
UFOBAT,0.08769,0.10679
QUWGAT,0.08846,0.10782
MULHIK,0.07988,0.10814
BMRIZN,0.10015,0.1082
UFOBOH,0.08806,0.10934
PIFMAV,0.06831,0.1099
LINNEE,0.09608,0.11003
RUQGOC,0.07468,0.11071
AFIRUF,0.07923,0.11093
SURLOJ,0.09299,0.11113
POGTUB,0.08877,0.11118
JIZRUI,0.07253,0.11141
VIFYIT,0.09,0.11198
SUMTAX,0.07198,0.11267
KUQLAM,0.09877,0.11355
CIVNAZ,0.05697,0.11437
XUTKEF,0.07388,0.11448
LINPEG,0.09933,0.1147
KUFWOA,0.09496,0.11482
RUQGES,0.07362,0.11675
LIJPUS,0.0502,0.11738
ZOKTEB,0.1006,0.11802
WIGPOT,0.09473,0.11873
RADVIF,0.09261,0.11885
NOVPAS,0.04621,0.12249
IGONEZ,0.07552,0.12294
SUJQEW,0.09386,0.12523
