CSD ID, lambda_force (eV)
LEVGOK,0.35757
LEVJUT,0.33829
LEYXOF,0.22543
LEZGEE,0.11065
LICCAD,0.4068
LICRUM,0.25419
LIDHIQ,0.31253
LIJGIV,0.31658
LIJTOP,0.67516
LIMGUJ,3.39244
LIMHEU,2.51781
LINMUT,0.0728
LINNEE,0.09608
LINNOO,0.1285
LINNUU,0.14342
LINPAC,0.08298
LINPEG,0.09933
LIWJAD,0.39588
LIYGIL,0.28457
LIYHIK,0.57395
LIYNAL,0.21025
LOBPOK,0.04979
LOCBAI,0.77352
LOFTEG,0.11746
LOHMEB,0.36067
LOJCOE,0.22897
LOJDOG,0.29367
LOJHEA,0.35693
LOMRUB,0.31955
LOMSOX,0.22684
LOMSUD,0.3393
LONMIK,0.50907
LONZET,0.23612
LORMAJ,0.28079
LOTCOO01,1.1269
LOTDEF,0.64689
LOWTID,0.52523
LOZREA,0.24487
LOZZIM,0.32777
LUBKIC,1.17263
LUCVAJ,0.41879
LUDGEZ,0.29
LUGJEF,0.28547
LUHVUG,0.14263
LULLOT04,0.2586
LUMJUB,0.19197
LUNFAB,1.67644
LUPXIE,0.30959
LURHIR,0.51652
LURYEF,0.08307
LUSKIW,0.23088
LUSLAP,0.27163
LUSLUJ,0.25163
LUSTIF,0.32108
LUSTOL,0.42426
LUTKUI,0.33648
LUTLAP,0.28954
LUVRUS,0.07812
MAXRUA,0.13664
MAYJEC,0.55712
MCHDHN,0.31568
MEGMAO,0.35552
MEHCEI,0.38849
MEKYUX,0.25415
MERSAE,0.89856
MEYRAM,0.08644
MICXAA,0.23582
MIRWOC,1.33049
MIRWUI,0.91507
MIRXAP,1.18446
MITFUT,0.32375
MITGEE,0.19
MITGUU,0.19187
MOBBOX,0.2066
MOGVIP,0.28482
MOMPAH,0.34869
MOMPEL,0.3654
MOMPIP,0.47641
MOMPOV,0.37233
MOPNUB,0.59797
MORKAI,0.24352
MOTJEL,0.23484
MOYYOR,0.58542
MUBTEJ,0.37613
MUDSIQ,0.41425
MUDXEO,0.42179
MUFDUP,0.42205
MUFFAX,0.43133
MUFPIP,0.54862
MUJJEI,0.40749
MUJKIN,0.41808
MUJTUH,0.74649
MUKGEG,0.312
MUKGIK,0.29959
MUKWOG,0.38794
MULGEF,0.63142
MULHIK,0.07988
MULHOQ,0.07592
MUMFEG,0.46198
MUMMIS,0.60832
MUMPUI,0.21986
MUMZUQ,0.30315
MUNCEE,0.32756
MUQPUL,0.24455
MUWSEF,0.21712
MUXYOW,0.67183
NAHXUR,0.37951
NALVAA,0.06212
NALVEE,0.0656
NAMBAH,0.44672
NAMBEL,0.48121
NAPZAH,0.15377
NASSOQ,1.17566
NASXOX,0.09302
NAVGEZ,0.28166
NAVGID,0.24951
NAYTIR,0.36163
NAZBUN,0.45688
NAZLAC01,0.62459
NAZPEM,0.1897
NEBLUE,1.05821
NEHQEX,0.3056
NEJBUB,0.15548
NEPGAS,0.62424
NEQBES,0.12017
NEQCAQ,0.33021
NERFAU,0.29238
NEVFIG,0.17033
NEWLOS,0.29113
NEWLUY,0.30163
NEWMAF,0.29155
NIFFUG,0.25502
NIFHIW,0.39587
NIFHOC,0.3331
NIFHUI,0.41517
NIHQUR,0.21962
NIJLAU,0.96142
NILWOV,0.33866
NIMGIZ,1.3485
NIPPEK,0.2919
NIRDUQ,0.51557
NIRXIY,0.50985
NIRZUM,0.50765
NITVUK,0.33
NITWAR,0.41002
NIVSOA,0.27874
NIXHOR,1.01449
NIXHUX,2.24562
NIXJAF,1.02014
NIXJEJ,0.89553
NOBJET,1.11402
NOCSUV,0.26676
NOFCIX,0.31743
NOHRAG,0.23221
NOHREK,0.45233
NOJKUT,0.098
NOJLAA,0.10937
NOMNOU,0.36289
NOMNUA,0.37474
NOQBED,0.29563
NORVEX,0.35786
NOSCUV,0.31616
NOSDAC,0.29886
NOSDOQ,0.32915
NOSFEJ,0.28411
NOSJOX,0.2844
NOTQOF,0.33708
NOXVAA,0.33
NOZPOK,0.1416
NUBLUU,0.27457
NUCWIU,0.19877
NUGCUP,0.54344
NUGKIL,1.00489
NUGNUZ,0.16097
NUGPEL,0.43296
NUGSOY,0.37694
NUMBUT,1.71098
NUMCAA,0.2387
NUMYEB,0.26826
NUNNIV,0.38564
NUNNOB,1.5285
NUQNIY,0.08893
NUQSAT,0.3109
NUSPID,0.32862
NUTGAM,0.3269
NUTRUS,0.24459
NUVKIB,1.02337
NUVKOH,2.21629
OBEQEU,0.1169
OBEQOE,0.10897
OBOWEK,0.2495
OBUCOD,0.40239
OBUHAV,0.29639
OBUHOJ,0.2
OBUWEQ,0.52409
OBUWIU,0.26514
OCAQUF,0.16404
OCECIK,0.29658
OCLPMH,0.73347
OCONEZ,0.36562
ODASUK,0.36953
ODIVEF,0.21999
ODIVIJ,0.22194
ODOHOG,0.34032
OFADUV,0.3455
OFARIY,0.14541
OFIXUX,0.99984
OFIYAE,1.21388
OFIYEI,1.25051
OFIYIM,0.89424
OFIYOS,0.93593
OFONUV,0.39772
OGAPET01,0.30965
OGELIY,0.36784
OGEXOP,0.32973
OGIZOV,0.22051
OGODAS,0.22328
OGUHEG,0.33624
OHITIK,0.40827
OHUBUR,0.12191
OHUYEX,1.07505
OJEMAT,0.35212
OJEMEX,0.46036
OJEMOH,0.36339
OJESIG,0.28784
OKEVOP,0.49973
OKOJEF,0.22296
OKONAF,0.26249
OKOROX,0.26847
OKOZUK,0.26783
OLEMOH,0.08769
OMAZEI,0.74749
OMAZIM,0.46803
OMIZUH,0.87843
OMOBAV,0.90076
OMOBID,0.76729
ONEXIP,0.3172
OPASAB,0.22466
OPIKOP,0.51732
OPOJIN,0.17719
OPOPOZ,0.02558
ORUWIJ,0.13537
OSUHEQ,0.31848
OTUKIY,0.78196
OVEDUQ,0.20143
OWAPIN,0.38472
OWIXEZ,0.18785
OWIXID,0.18734
OXEMAG,0.21417
OXEMEK,0.19873
OXUFEU,0.15217
OYUSAE,0.33264
OYUTUZ,0.21151
OYUVEL,0.24902
OZOXAE,0.23648
PABMIP,0.07881
PABMOV,0.07224
PACZEC,0.18394
PADXOK,0.88431
PADYAX,0.28401
PAJZAE,0.251
PAJZEI,0.26698
PAJZIM,0.24334
PAKBEK,0.30812
PAKBIO,0.26362
PAKBOU,0.25965
PAKBUA,0.27155
PAKCAH,0.27011
PAKCEL,0.27291
PAKCIP,0.2433
PAPRAB,0.42107
PAPREF,0.25358
PAPRIJ,0.32637
PAQMIE01,0.25233
PAQMOK,0.2565
PATNUT,0.36563
PAZQIT,0.16336
PEBWOL,0.5695
PEBXAY,0.54665
PEDREY,0.74535
PEGSEB,0.27587
PEHRIE,0.11567
PELPUT,0.54299
PEPLUS,0.40924
PESREN,0.23706
PETDIE,0.25658
PEWMAF,0.74326
